step 022800 | loss 0.7896
step 022900 | loss 0.7534
step 023000 | loss 0.7503
step 023100 | loss 0.7526
step 023200 | loss 0.7546
step 023300 | loss 0.7531
step 023400 | loss 0.7533
step 023500 | loss 0.7538
step 023600 | loss 0.7538
step 023700 | loss 0.7668
step 023800 | loss 0.7540
step 023900 | loss 0.7565
step 024000 | loss 0.7512
step 024100 | loss 0.7508
step 024200 | loss 0.7650
step 024300 | loss 0.7611
step 024400 | loss 0.7519
step 024500 | loss 0.7878
step 024600 | loss 0.7560
step 024700 | loss 0.7593
step 024800 | loss 0.7525
step 024900 | loss 0.7571
step 025000 | loss 0.7561
step 025100 | loss 0.7495
step 025200 | loss 0.7567
step 025300 | loss 0.7552
step 025400 | loss 0.7599
step 025500 | loss 0.7550
step 025600 | loss 0.7496
step 025700 | loss 0.7548
step 025800 | loss 0.7556
step 025900 | loss 0.7586
step 026000 | loss 0.7615
step 026100 | loss 0.7512
step 026200 | loss 0.7499
step 026300 | loss 0.7524
step 026400 | loss 0.7531
step 026500 | loss 0.7603
step 026600 | loss 0.7606
step 026700 | loss 0.7525
step 026800 | loss 0.7526
step 026900 | loss 0.7516
step 027000 | loss 0.7537
step 027100 | loss 0.7921
step 027200 | loss 0.7519
step 027300 | loss 0.7498
step 027400 | loss 0.7532
step 027500 | loss 0.7580
step 027600 | loss 0.7537
step 027700 | loss 0.7761
step 027800 | loss 0.7495
step 027900 | loss 0.7488
step 028000 | loss 0.7547
step 028100 | loss 0.7523
step 028200 | loss 0.7588
step 028300 | loss 0.7575
step 028400 | loss 0.7510
step 028500 | loss 0.7515
step 028600 | loss 0.7725
step 028700 | loss 0.7553
step 028800 | loss 0.7517
step 028900 | loss 0.7541
step 029000 | loss 0.7544
step 029100 | loss 0.7830
step 029200 | loss 0.7832
step 029300 | loss 0.7587
step 029400 | loss 0.7550
step 029500 | loss 0.7525
step 029600 | loss 0.7545
step 029700 | loss 0.7516
step 029800 | loss 0.7541
step 029900 | loss 0.7524
step 030000 | loss 0.7523
step 030100 | loss 0.7556
step 030200 | loss 0.7461
step 030300 | loss 0.7525
step 030400 | loss 0.7573
step 030500 | loss 0.7535
step 030600 | loss 0.7578
step 030700 | loss 0.7531
step 030800 | loss 0.7490
step 030900 | loss 0.7542
step 031000 | loss 0.7503
step 031100 | loss 0.7539
step 031200 | loss 0.7529
step 031300 | loss 0.7552
step 031400 | loss 0.7565
step 031500 | loss 0.7506
step 031600 | loss 0.7531
step 031700 | loss 0.7540
step 031800 | loss 0.7547
step 031900 | loss 0.7546
step 032000 | loss 0.7562
step 032100 | loss 0.7819
step 032200 | loss 0.7531
step 032300 | loss 0.7483
step 032400 | loss 0.7561
step 032500 | loss 0.7531
step 032600 | loss 0.7513
step 032700 | loss 0.7501
step 032800 | loss 0.7511
step 032900 | loss 0.7598
step 033000 | loss 0.7550
step 033100 | loss 0.7559
step 033200 | loss 0.7539
step 033300 | loss 0.7631
step 033400 | loss 0.7548
step 033500 | loss 0.7532
step 033600 | loss 0.7535
step 033700 | loss 0.7523
step 033800 | loss 0.7547
step 033900 | loss 0.7567
step 034000 | loss 0.7535
step 034100 | loss 0.7519
step 034200 | loss 0.7509
step 034300 | loss 0.7526
step 034400 | loss 0.7542
step 034500 | loss 0.7491
step 034600 | loss 0.7857
step 034700 | loss 0.7538
step 034800 | loss 0.8082
step 034900 | loss 0.7552
step 035000 | loss 0.7544
step 035100 | loss 0.7495
step 035200 | loss 0.7538
step 035300 | loss 0.7585
step 035400 | loss 0.7519
step 035500 | loss 0.7489
step 035600 | loss 0.7543
step 035700 | loss 0.7517
step 035800 | loss 0.7528
step 035900 | loss 0.7539
step 036000 | loss 0.7530
step 036100 | loss 0.7593
step 036200 | loss 0.7492
step 036300 | loss 0.7630
step 036400 | loss 0.7960
step 036500 | loss 0.7532
step 036600 | loss 0.7538
step 036700 | loss 0.7511
step 036800 | loss 0.7518
step 036900 | loss 0.7520
step 037000 | loss 0.7555
step 037100 | loss 0.7609
step 037200 | loss 0.7519
step 037300 | loss 0.7540
step 037400 | loss 0.7526
step 037500 | loss 0.7518
step 037600 | loss 0.7570
step 037700 | loss 0.7555
step 037800 | loss 0.7548
step 037900 | loss 0.7517
step 038000 | loss 0.7548
step 038100 | loss 0.7505
step 038200 | loss 0.7529
step 038300 | loss 0.7544
step 038400 | loss 0.7584
step 038500 | loss 0.7571
step 038600 | loss 0.7545
step 038700 | loss 0.7668
step 038800 | loss 0.7537
step 038900 | loss 0.7561
step 039000 | loss 0.7505
